日期,场次,联赛,主队,客队,推荐,主胜%,平局%,客胜%,赔率,来源,情报
2026-09-05,周六006,意甲,佛罗伦萨,都灵,主胜,45.6%,31.2%,23.1%,1.88,模型+赔率,full
2026-09-05,周六007,德甲,门兴,埃沃斯堡,主胜,51.5%,23.6%,24.9%,1.72,仅赔率,odds_only
2026-09-05,周六008,德甲,不来梅,莱红牛,客胜,23.5%,22.9%,53.6%,1.56,模型+赔率,full
2026-09-05,周六009,德甲,帕德博恩,弗赖堡,客胜,24.6%,23.9%,51.5%,1.72,仅赔率,odds_only
2026-09-05,周六010,德甲,霍芬海姆,多特蒙德,客胜,34.8%,26.4%,38.8%,2.4,模型+赔率,full
2026-09-05,周六011,德甲,勒沃库森,柏林联合,主胜,69.8%,17.5%,12.8%,1.23,模型+赔率,full
2026-09-05,周六012,英超,诺丁汉,热刺,主胜,46.2%,27.7%,26.2%,2.35,模型+赔率,full
2026-09-05,周六014,英超,布伦特,桑德兰,主胜,60.7%,23.0%,16.3%,1.52,模型+赔率,full
2026-09-05,周六015,英超,富勒姆,水晶宫,主胜,53.9%,24.9%,21.1%,2.02,模型+赔率,full
2026-09-05,周六016,西甲,毕尔巴鄂,马竞,客胜,27.9%,26.3%,45.8%,2.07,模型+赔率,full
2026-09-05,周六017,法甲,朗斯,洛里昂,主胜,56.2%,23.3%,20.4%,1.36,模型+赔率,full
2026-09-05,周六018,意甲,国际米兰,那不勒斯,主胜,59.5%,24.3%,16.3%,1.49,仅赔率,partial
2026-09-05,周六019,挪超,布兰,利勒斯特,主胜,55.7%,23.3%,21.0%,1.59,仅赔率,odds_only
2026-09-05,周六020,英超,赫尔城,维拉,客胜,22.1%,26.4%,51.5%,1.72,仅赔率,partial
2026-09-05,周六022,西甲,巴列卡诺,桑坦德,主胜,47.9%,25.7%,26.4%,1.85,仅赔率,partial
2026-09-05,周六023,葡超,马里迪莫,本菲卡,客胜,7.3%,14.8%,77.9%,1.11,模型+赔率,partial
2026-09-05,周六024,沙职,吉达联合,利雅胜利,客胜,17.0%,18.3%,64.7%,1.37,仅赔率,odds_only
2026-09-05,周六025,荷甲,阿贾克斯,埃因霍温,客胜,25.7%,21.7%,52.6%,2.1,模型+赔率,full
2026-09-05,周六026,意甲,罗马,亚特兰大,主胜,56.4%,24.6%,19.1%,1.58,模型+赔率,full
2026-09-05,周六027,法甲,勒阿弗尔,布雷斯特,主胜,40.8%,29.3%,29.9%,2.56,模型+赔率,full
2026-09-05,周六028,西甲,比利亚雷,拉科,主胜,67.6%,19.3%,13.1%,1.31,仅赔率,partial
2026-09-05,周六029,巴甲,布拉干RB,巴伊亚,主胜,46.1%,27.7%,26.2%,1.92,仅赔率,odds_only
