日期,场次,联赛,主队,客队,推荐,主胜%,平局%,客胜%,赔率,来源,情报
2026-09-12,周六006,意甲,热那亚,弗洛西诺,主胜,40.0%,27.4%,32.6%,2.15,仅赔率,partial
2026-09-12,周六007,德甲,弗赖堡,门兴,主胜,61.9%,20.5%,17.6%,1.52,模型+赔率,full
2026-09-12,周六008,德甲,美因茨,法兰克福,主胜,53.7%,22.2%,24.1%,1.61,模型+赔率,full
2026-09-12,周六009,德甲,多特蒙德,帕德博恩,主胜,76.4%,13.5%,10.1%,1.14,仅赔率,partial
2026-09-12,周六010,德甲,奥格斯堡,勒沃库森,客胜,33.6%,22.6%,43.8%,1.72,模型+赔率,full
2026-09-12,周六011,德甲,霍芬海姆,斯图加特,主胜,39.7%,22.8%,37.5%,2.15,模型+赔率,full
2026-09-12,周六012,英超,切尔西,赫尔城,主胜,79.3%,12.9%,7.8%,1.1,仅赔率,partial
2026-09-12,周六013,英超,伯恩茅斯,布伦特,主胜,38.2%,31.7%,30.1%,2.38,模型+赔率,full
2026-09-12,周六014,英超,维拉,诺丁汉,主胜,36.4%,29.4%,34.2%,2.02,模型+赔率,full
2026-09-12,周六015,英超,水晶宫,伊普斯,主胜,51.5%,25.3%,23.2%,1.68,仅赔率,partial
2026-09-12,周六016,英超,利物浦,富勒姆,主胜,63.9%,21.2%,14.9%,1.37,模型+赔率,full
2026-09-12,周六017,西甲,奥萨苏纳,西班牙人,主胜,39.5%,30.6%,29.8%,2.1,模型+赔率,full
2026-09-12,周六018,法甲,斯特拉斯,摩纳哥,客胜,31.3%,23.3%,45.4%,1.9,模型+赔率,full
2026-09-12,周六019,沙职,布赖合作,利雅新月,客胜,8.2%,14.9%,76.9%,1.17,仅赔率,odds_only
2026-09-12,周六020,意甲,拉齐奥,AC米兰,客胜,26.6%,29.9%,43.5%,2.0,模型+赔率,full
2026-09-12,周六021,挪超,罗森博格,特罗姆瑟,主胜,56.3%,22.1%,21.6%,1.54,仅赔率,odds_only
2026-09-12,周六022,英超,热刺,埃弗顿,主胜,40.6%,30.9%,28.5%,1.82,模型+赔率,full
2026-09-12,周六023,德甲,科隆,不来梅,主胜,48.1%,24.2%,27.7%,1.89,模型+赔率,full
2026-09-12,周六024,西甲,毕尔巴鄂,埃尔切,主胜,63.8%,20.6%,15.6%,1.29,模型+赔率,full
2026-09-12,周六025,葡超,卡萨皮亚,波尔图,客胜,5.1%,15.3%,79.6%,1.13,仅赔率,odds_only
2026-09-12,周六026,荷甲,福图纳,阿贾克斯,客胜,11.3%,16.7%,72.0%,1.25,仅赔率,odds_only
2026-09-12,周六027,意甲,亚特兰大,卡利亚里,主胜,49.6%,28.9%,21.5%,1.5,模型+赔率,full
2026-09-12,周六028,法甲,巴黎FC,里昂,主胜,38.6%,27.7%,33.7%,2.63,模型+赔率,full
2026-09-12,周六029,英超,桑德兰,阿森纳,客胜,12.7%,25.3%,62.1%,1.38,模型+赔率,full
