日期,场次,联赛,主队,客队,推荐,主胜%,平局%,客胜%,赔率,来源,情报
2026-09-13,周日003,西甲,塞尔塔,马拉加,主胜,51.1%,30.7%,18.1%,1.58,模型+赔率,partial
2026-09-13,周日005,芬超,库奥皮奥,赫尔辛基,主胜,40.8%,27.6%,31.6%,2.08,仅赔率,odds_only
2026-09-13,周日006,荷甲,海伦芬,特尔斯达,主胜,61.4%,20.3%,18.4%,1.4,仅赔率,odds_only
2026-09-13,周日007,意甲,莱切,蒙扎,客胜,32.7%,32.6%,34.7%,2.63,仅赔率,partial
2026-09-13,周日008,法甲,里尔,特鲁瓦,主胜,65.5%,22.4%,12.1%,1.27,仅赔率,partial
2026-09-13,周日009,德甲,莱红牛,汉堡,主胜,73.8%,16.3%,9.9%,1.2,模型+赔率,full
2026-09-13,周日011,挪超,汉坎,莫尔德,客胜,18.2%,21.4%,60.4%,1.49,仅赔率,odds_only
2026-09-13,周日012,法甲,勒芒,朗斯,客胜,15.8%,22.7%,61.5%,1.46,仅赔率,odds_only
2026-09-13,周日013,英超,曼联,曼城,客胜,28.7%,24.8%,46.5%,1.96,模型+赔率,full
2026-09-13,周日015,意甲,那不勒斯,博洛尼亚,主胜,47.8%,27.8%,24.4%,1.73,模型+赔率,full
2026-09-13,周日016,西甲,赫塔费,拉科,平,34.0%,34.4%,31.6%,2.62,模型+赔率,partial
2026-09-13,周日019,意甲,萨索洛,尤文图斯,客胜,17.8%,26.8%,55.3%,1.48,模型+赔率,full
2026-09-13,周日020,法甲,布雷斯特,巴黎圣曼,客胜,11.4%,21.5%,67.0%,1.13,模型+赔率,full
2026-09-13,周日021,西甲,皇家社会,马竞,客胜,31.4%,26.5%,42.1%,1.99,模型+赔率,full
2026-09-13,周日022,葡超,法马利康,里斯本,客胜,12.4%,21.2%,66.5%,1.35,仅赔率,odds_only
2026-09-13,周日023,巴甲,弗拉门戈,科林蒂安,主胜,75.1%,17.2%,7.7%,1.15,仅赔率,odds_only
2026-09-13,周日024,美职,芝加哥,新英格兰,主胜,46.3%,25.4%,28.3%,1.84,仅赔率,odds_only
